#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-05T08:57:08 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-05T08:57:08	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/219/4/table7&-out.all&-out.max=99999	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_219_4_table7:
#Name: J/ApJS/219/4/table7
#Title: *Parameters of final multicomponent decompositions
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I4)	[1/2352] Running sequence number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Galaxy name	[ucd=meta.id]
#Column	Mod	(a8)	Type of final decomposition model (1)	[ucd=meta.note]
#Column	Nc	(I1)	[1/4] Number of components in the model (1-4)	[ucd=meta.number]
#Column	Q	(I1)	[3/5] Quality flag, 5=most reliable (2)	[ucd=meta.code.qual]
#Column	C	(a7)	Phsical interpretation of the component (1)	[ucd=meta.id;stat.fit]
#Column	Fn	(A8)	The GALFIT function used for the component (sersic, edgedisk, expdisk, ferrer2 or psf)	[ucd=meta.id;stat.fit]
#Column	f1	(F6.3)	[0.006/1]? "sersic" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag1	(F6.3)	[7/19.4]? "sersic" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q1	(F6.3)	[0.1/1]? "sersic" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA1	(F6.2)	[0.08/180]? "sersic" position angle (3)	[ucd=pos.posAng]
#Column	Re	(F6.2)	[0.004/430]? "sersic" effective radius (R_e_)	[ucd=phys.angSize]
#Column	n	(F6.3)	[0.01/20]? "sersic" parameter n	[ucd=stat.fit.param]
#Column	f2	(F6.3)	[0.02/1]? "edgedisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu02	(F6.3)	[11.8/24.6]? "edgedisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	PA2	(F6.2)	[-90/90]? "edgedisk" PA	[ucd=pos.posAng]
#Column	hr2	(F6.2)	[1/153]? "edgedisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	hz2	(F5.2)	[0.003/39]? "edgedisk" z-scale h_z_	[ucd=stat.fit.param]
#Column	f3	(F6.3)	[0.02/1]? "expdisk" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag3	(F6.3)	[6.5/18.1]? "expdisk" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
#Column	q3	(F6.3)	[0.1/1]? "expdisk" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA3	(F6.2)	[-90/90]? "expdisk" position angle (3)	[ucd=pos.posAng]
#Column	hr3	(F6.2)	[0.7/332]? "expdisk" exponential scale length (h_r_)	[ucd=stat.fit.param]
#Column	mu03	(F6.3)	[16.4/25.3]? "expdisk" central surface face-on brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	f4	(F6.3)	[0.003/0.6]? "ferrer2" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mu04	(F6.3)	[16/24.8]? "ferrer2" central surface sky brightness ({mu}_0_)	[ucd=phot.mag.sb]
#Column	q4	(F6.3)	[0.01/1]? "ferrer2" axis ratio (3)	[ucd=phys.size.axisRatio]
#Column	PA4	(F6.2)	[-90/90]? "ferrer2" position angle (3)	[ucd=pos.posAng]
#Column	Rbar	(F6.2)	[3.7/232.5]? "ferrer2" outer truncation radius of the bar (R_bar_)	[ucd=phys.size.radius]
#Column	f5	(F6.3)	[0.001/0.4]? "psf" fraction of the total model flux	[ucd=stat.fit.param]
#Column	mag5	(F6.3)	[11.5/21.1]? "psf" total 3.6um AB magnitude	[ucd=phot.mag;em.IR.3-4um]
recno	Seq	Name	Mod	Nc	Q	C	Fn	f1	mag1	q1	PA1	Re	n	f2	mu02	PA2	hr2	hz2	f3	mag3	q3	PA3	hr3	mu03	f4	mu04	q4	PA4	Rbar	f5	mag5
 	 	 	 	 	 	 	 	 	mag	 	deg	arcsec	 	 	mag/arcsec2	deg	arcsec	arcsec	 	mag	 	deg	arcsec	mag/arcsec2	 	mag/arcsec2	 	deg	arcsec	 	mag
--------	----	----------	--------	-	-	-------	--------	------	------	------	------	------	------	------	------	------	------	-----	------	------	------	------	------	------	------	------	------	------	------	------	------
       1	   1	ESO011-005	_bz     	2	4	B      	sersic  	 0.571	14.822	 0.354	 40.45	 48.94	 3.001	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
       2	   1	ESO011-005	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.429	20.912	 43.90	  9.76	 2.96	      	      	      	      	      	      	      	      	      	      	      	      	
       3	   2	ESO012-010	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.944	13.445	 0.458	-33.80	 33.95	23.095	      	      	      	      	      	      	
       4	   2	ESO012-010	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.056	22.177	 0.390	 24.24	 21.14	      	
       5	   3	ESO012-014	_dbar   	2	4	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.835	14.795	 0.420	 31.03	 33.15	24.393	      	      	      	      	      	      	
       6	   3	ESO012-014	_dbar   	2	4	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.165	24.704	 0.249	 11.10	 83.01	      	
       7	   4	ESO013-016	_dbarf  	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.963	12.802	 0.657	-14.29	 21.06	21.415	      	      	      	      	      	      	
       8	   4	ESO013-016	_dbarf  	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.037	20.882	 0.207	-14.32	 17.25	      	
       9	   5	ESO015-001	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.777	14.628	 0.414	-54.26	 23.90	23.516	      	      	      	      	      	      	
      10	   5	ESO015-001	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.223	22.890	 0.199	-77.11	 52.52	      	
      11	   6	ESO026-001	_ndbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.933	12.978	 0.940	 19.35	 19.41	21.413	      	      	      	      	      	      	
      12	   6	ESO026-001	_ndbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.059	20.202	 0.285	 69.63	 12.59	      	
      13	   6	ESO026-001	_ndbar  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.008	18.145
      14	   7	ESO027-001	_bdbar  	3	5	B      	sersic  	 0.087	13.985	 0.368	 58.03	  2.52	 3.257	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      15	   7	ESO027-001	_bdbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.839	11.518	 0.784	 12.50	 24.67	20.475	      	      	      	      	      	      	
      16	   7	ESO027-001	_bdbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.075	20.555	 0.363	 62.31	 31.16	      	
      17	   8	ESO027-008	_dn     	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.986	11.516	 0.333	-34.90	 23.66	20.381	      	      	      	      	      	      	
      18	   8	ESO027-008	_dn     	2	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.014	16.174
      19	   9	ESO048-017	_ndbar  	3	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.856	14.452	 0.530	 62.98	 20.66	23.023	      	      	      	      	      	      	
      20	   9	ESO048-017	_ndbar  	3	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.138	21.755	 0.176	 59.87	 26.80	      	
      21	   9	ESO048-017	_ndbar  	3	5	N      	psf     	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	 0.006	19.862
      22	  10	ESO054-021	_dbar   	2	5	D      	expdisk 	      	      	      	      	      	      	      	      	      	      	     	 0.934	12.081	 0.486	 88.36	 47.11	22.442	      	      	      	      	      	      	
      23	  10	ESO054-021	_dbar   	2	5	BAR    	ferrer2 	      	      	      	      	      	      	      	      	      	      	     	      	      	      	      	      	      	 0.066	21.508	 0.644	 41.65	 24.76	      	
      24	  11	ESO079-003	_bz     	2	4	B      	sersic  	 0.264	12.036	 0.280	127.51	295.79	20.000	      	      	      	      	     	      	      	      	      	      	      	      	      	      	      	      	      	
      25	  11	ESO079-003	_bz     	2	4	Z      	edgedisk	      	      	      	      	      	      	 0.736	17.865	-48.90	 14.73	 3.20	      	      	      	      	      	      	      	      	      	      	      	      	
